Village A,Village B,Village C,Village D,Village E
0.19181,0.19181,0.19181,0.19181,0.19181
0.34399,0.34399,0.34399,0.34399,0.34399
0.57706,0.57706,0.57706,0.57706,0.57706
0.67575,0.67575,0.67575,0.67575,0.67575
0.57771,0.57771,0.57771,0.57771,0.57771
0.26929,0.26929,0.26929,0.26929,0.26929
0.22879,0.22879,0.22879,0.22879,0.22879
0.27377,0.27377,0.27377,0.27377,0.27377
0.4764,0.4764,0.4764,0.4764,0.4764
0.14889,0.14889,0.14889,0.14889,0.14889
0.11803,0.11803,0.11803,0.11803,0.11803
0.00774,0.00774,0.00774,0.00774,0.00774
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.02901,0.02901,0.02901,0.02901,0.02901
0.19822,0.19822,0.19822,0.19822,0.19822
0.3852,0.3852,0.3852,0.3852,0.3852
0.538,0.538,0.538,0.538,0.538
0.45748,0.45748,0.45748,0.45748,0.45748
0.74337,0.74337,0.74337,0.74337,0.74337
0.73588,0.73588,0.73588,0.73588,0.73588
0.52022,0.52022,0.52022,0.52022,0.52022
0.44333,0.44333,0.44333,0.44333,0.44333
0.46993,0.46993,0.46993,0.46993,0.46993
0.30798,0.30798,0.30798,0.30798,0.30798
0.11797,0.11797,0.11797,0.11797,0.11797
0.01182,0.01182,0.01182,0.01182,0.01182
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.02813,0.02813,0.02813,0.02813,0.02813
0.19754,0.19754,0.19754,0.19754,0.19754
0.35963,0.35963,0.35963,0.35963,0.35963
0.51383,0.51383,0.51383,0.51383,0.51383
0.54711,0.54711,0.54711,0.54711,0.54711
0.75496,0.75496,0.75496,0.75496,0.75496
0.76582,0.76582,0.76582,0.76582,0.76582
0.72884,0.72884,0.72884,0.72884,0.72884
0.64156,0.64156,0.64156,0.64156,0.64156
0.50475,0.50475,0.50475,0.50475,0.50475
0.32276,0.32276,0.32276,0.32276,0.32276
0.12133,0.12133,0.12133,0.12133,0.12133
0.01167,0.01167,0.01167,0.01167,0.01167
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.02989,0.02989,0.02989,0.02989,0.02989
0.19448,0.19448,0.19448,0.19448,0.19448
0.34921,0.34921,0.34921,0.34921,0.34921
0.53801,0.53801,0.53801,0.53801,0.53801
0.69494,0.69494,0.69494,0.69494,0.69494
0.73523,0.73523,0.73523,0.73523,0.73523
0.77587,0.77587,0.77587,0.77587,0.77587
0.74084,0.74084,0.74084,0.74084,0.74084
0.46697,0.46697,0.46697,0.46697,0.46697
0.41639,0.41639,0.41639,0.41639,0.41639
0.25863,0.25863,0.25863,0.25863,0.25863
0.11641,0.11641,0.11641,0.11641,0.11641
0.00805,0.00805,0.00805,0.00805,0.00805
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0351,0.0351,0.0351,0.0351,0.0351
0.07235,0.07235,0.07235,0.07235,0.07235
0.24652,0.24652,0.24652,0.24652,0.24652
0.37886,0.37886,0.37886,0.37886,0.37886
0.49942,0.49942,0.49942,0.49942,0.49942
0.41662,0.41662,0.41662,0.41662,0.41662
0.2834,0.2834,0.2834,0.2834,0.2834
